#LETTER NAME                   ENABLED LANGUAGE         DESCRIPTION                   
F       fileScope              TRUE    NONE             Include tags of file scope    
f       inputFile              TRUE    NONE             Include an entry for the base file name of every input file
p       pseudo                 TRUE    NONE             Include pseudo tags           
q       qualified              TRUE    NONE             Include an extra class-qualified tag entry for each tag
r       reference              TRUE    NONE             Include reference tags        
g       guest                  TRUE    NONE             Include tags generated by guest parsers
s       subparser              TRUE    NONE             Include tags generated by subparsers
-       funcmap                TRUE    QemuHX           mapping SQMP to C function name
-       whitespaceSwapped      TRUE    Robot            Include tags swapping whitespace and underscore chars
#LETTER	NAME	ENABLED	LANGUAGE	DESCRIPTION
F	fileScope	TRUE	NONE	Include tags of file scope
f	inputFile	TRUE	NONE	Include an entry for the base file name of every input file
p	pseudo	TRUE	NONE	Include pseudo tags
q	qualified	TRUE	NONE	Include an extra class-qualified tag entry for each tag
r	reference	TRUE	NONE	Include reference tags
g	guest	TRUE	NONE	Include tags generated by guest parsers
s	subparser	TRUE	NONE	Include tags generated by subparsers
-	funcmap	TRUE	QemuHX	mapping SQMP to C function name
-	whitespaceSwapped	TRUE	Robot	Include tags swapping whitespace and underscore chars
